chr	start	end	silencer
chr19	8631775	8631975	1
chr1	113408175	113408375	1
chr2	234276376	234276576	1
chr17	47401936	47402136	1
chr17	41121376	41121576	1
chr10	6107715	6107915	1
chr2	227816846	227817046	1
chr11	114339756	114339956	1
chr10	15538675	15538875	1
chr1	189647276	189647476	1
chr9	39054666	39054866	1
chr6	128259956	128260156	1
chr5	125903415	125903615	1
chr12	123192675	123192875	1
chr19	47099296	47099496	1
chr17	47422396	47422596	1
chr15	52345255	52345455	1
chr5	18865696	18865896	1
chr1	117948875	117949075	1
chr19	42762765	42762965	1
chr7	1390815	1391015	1
chr19	13313885	13314085	1
chr3	121316336	121316536	1
chr2	28773325	28773525	1
chr14	65892015	65892215	1
chr5	124334296	124334496	1
chr16	10425416	10425616	1
chr19	3736825	3737025	1
chr19	47838155	47838355	1
chr8	33872176	33872376	1
chr14	19643455	19643655	1
chr1	29303795	29303995	1
chr3	57764256	57764456	1
chr1	74620436	74620636	1
chr3	195560875	195561075	1
chr21	10580375	10580575	1
chr19	7464536	7464736	1
chr12	70795415	70795615	1
chr7	128221256	128221456	1
chr8	23122936	23123136	1
chr5	178151060	178151260	1
chr6	21648816	21649016	1
chr3	128705026	128705226	1
chr19	47566135	47566335	1
chr4	134436956	134437156	1
chr19	13816945	13817145	1
chr7	65700135	65700335	1
chr12	113387975	113388175	1
chr3	107369756	107369956	1
chr3	86763696	86763896	1
chr2	231416936	231417136	1
chr16	58863396	58863596	1
chr8	98690726	98690926	1
chr15	101053575	101053775	1
chr1	185909276	185909476	1
chr2	42351395	42351595	1
chr12	56714995	56715195	1
chr10	80305575	80305775	1
chr5	19179836	19180036	1
chr2	128552496	128552696	1
chr4	178896296	178896496	1
chr20	56074956	56075156	1
chr10	103018055	103018255	1
chr6	125960696	125960896	1
chr11	40121056	40121256	1
chr8	108375315	108375515	1
chr1	105644016	105644216	1
chr11	64565396	64565596	1
chr3	128437856	128438056	1
chr1	154349996	154350196	1
chr11	105481776	105481976	1
chr6	17744235	17744435	1
chr1	171590375	171590575	1
chr11	86559785	86559985	1
chr11	31667415	31667615	1
chr17	37957015	37957215	1
chr1	236545095	236545295	1
chr20	44477966	44478166	1
chr1	146799456	146799656	1
chr22	17138015	17138215	1
chr1	245069295	245069495	1
chr1	105569916	105570116	1
chr1	190197716	190197916	1
chr9	95516675	95516875	1
chr19	4616795	4616995	1
chr1	52682635	52682835	1
chr5	163500595	163500795	1
chr12	109750305	109750505	1
chr2	146409235	146409435	1
chr1	169479976	169480176	1
chr10	19111185	19111385	1
chr1	191158116	191158316	1
chr6	39105126	39105326	1
chr14	67744576	67744776	1
chr11	91756516	91756716	1
chr7	37416056	37416256	1
chr10	123063596	123063796	1
chr16	89744816	89745016	1
chr17	74479835	74480035	1
chr1	240666976	240667176	1
chr3	129625426	129625626	1
chr11	117467836	117468036	1
chr5	132901796	132901996	1
chr1	190231776	190231976	1
chr16	17243816	17244016	1
chr4	180018996	180019196	1
chr6	35120635	35120835	1
chr10	104121596	104121796	1
chr1	242058435	242058635	1
chr6	30346196	30346396	1
chr6	13406185	13406385	1
chr17	65083556	65083756	1
chr11	77491086	77491286	1
chr17	32059256	32059456	1
chr5	136789296	136789496	1
chr7	152759085	152759285	1
chr4	180017096	180017296	1
chr14	93001475	93001675	1
chr17	26707075	26707275	1
chr1	32189456	32189656	1
chr5	174748996	174749196	1
chr21	21917815	21918015	1
chr19	55195836	55196036	1
chr3	10909176	10909376	1
chr1	112626236	112626436	1
chr20	47139786	47139986	1
chr11	116250256	116250456	1
chr17	80551076	80551276	1
chr14	82541996	82542196	1
chr5	125134036	125134236	1
chr19	31192136	31192336	1
chr1	30209526	30209726	1
chr1	197049495	197049695	1
chr15	83331966	83332166	1
chr7	66429456	66429656	1
chr2	135788526	135788726	1
chr10	75239975	75240175	1
chr1	210306016	210306216	1
chr6	137153135	137153335	1
chr20	44669626	44669826	1
chr3	158991516	158991716	1
chr12	119950796	119950996	1
chr1	168902976	168903176	1
chr8	35289876	35290076	1
chr1	40302575	40302775	1
chr12	49093375	49093575	1
chr2	231154086	231154286	1
chr1	241486906	241487106	1
chr6	24589716	24589916	1
chr6	159688316	159688516	1
chr3	183810116	183810316	1
chr1	7587355	7587555	1
chr2	12747335	12747535	1
chr1	151189196	151189396	1
chr3	139516656	139516856	1
chr8	105876875	105877075	1
chr19	46728855	46729055	1
chr20	59164756	59164956	1
chr1	101355516	101355716	1
chr14	79329596	79329796	1
chr16	56047956	56048156	1
chr12	93302956	93303156	1
chr10	22114496	22114696	1
chrX	122289275	122289475	1
chr5	149822035	149822235	1
chr1	10292356	10292556	1
chr1	210900036	210900236	1
chr19	40136536	40136736	1
chr16	27807416	27807616	1
chr6	105335336	105335536	1
chr16	7296656	7296856	1
chr2	226355256	226355456	1
chr17	45555096	45555296	1
chr19	54431076	54431276	1
chr19	3877006	3877206	1
chr2	230766356	230766556	1
chr3	126881796	126881996	1
chr20	61747856	61748056	1
chr3	123936456	123936656	1
chr5	145720186	145720386	1
chr6	88930306	88930506	1
chr17	55500155	55500355	1
chr17	33124816	33125016	1
chr5	128261706	128261906	1
chr17	33030726	33030926	1
chr5	75399986	75400186	1
chr4	27280336	27280536	1
chr17	6172916	6173116	1
chr4	82938926	82939126	1
chr18	71967716	71967916	1
chr20	48878755	48878955	1
chr19	9084256	9084456	1
chr10	15114376	15114576	1
chr19	21625776	21625976	1
chr7	151648815	151649015	1
chr1	114494415	114494615	1
chr18	44077176	44077376	1
chr19	23424276	23424476	1
chr2	208067506	208067706	1
chr12	119499086	119499286	1
chr1	190231456	190231656	1
chr8	55913976	55914176	1
chr10	83738086	83738286	1
chr6	116918086	116918286	1
chr7	140452415	140452615	1
chr12	12837766	12837966	1
chr22	48563136	48563336	1
chr19	54815826	54816026	1
chr20	37314586	37314786	1
chr19	34750080	34750280	1
chr6	149645195	149645395	1
chr20	32999876	33000076	1
chr20	52315115	52315315	1
chr6	99808035	99808235	1
chr12	108775976	108776176	1
chr9	120821896	120822096	1
chr12	119083116	119083316	1
chr2	243184876	243185076	1
chr1	6221766	6221966	1
chr1	190299436	190299636	1
chr6	130683436	130683636	1
chr2	137285236	137285436	1
chr4	70209156	70209356	1
chr1	42984715	42984915	1
chr10	22138636	22138836	1
chr1	194045876	194046076	1
chr6	157376675	157376875	1
chr1	186121976	186122176	1
chr5	137468175	137468375	1
chr19	28868076	28868276	1
chr3	168194526	168194726	1
chr15	56524355	56524555	1
chr1	50939275	50939475	1
chr1	212911115	212911315	1
chr1	36096815	36097015	1
chr1	166038736	166038936	1
chr16	5728476	5728676	1
chr22	49604696	49604896	1
chr21	18715476	18715676	1
chr5	73359856	73360056	1
chr19	36454556	36454756	1
chr1	6579335	6579535	1
chr20	40653376	40653576	1
chr19	44919855	44920055	1
chr10	102840816	102841016	1
chr1	29792376	29792576	1
chr5	112856186	112856386	1
chr5	140927255	140927455	1
chr12	129534556	129534756	1
chr3	122593035	122593235	1
chr17	11410036	11410236	1
chr1	50733816	50734016	1
chr12	32424396	32424596	1
chr1	196707896	196708096	1
chr16	49379816	49380016	1
chr14	50704276	50704476	1
chr20	60183436	60183636	1
chr19	7082935	7083135	1
chr7	50982306	50982506	1
chr13	97320756	97320956	1
chr11	112605036	112605236	1
chr8	135421896	135422096	1
chr10	132722476	132722676	1
chr15	65003275	65003475	1
chr5	151626076	151626276	1
chr19	55577526	55577726	1
chr12	70503935	70504135	1
chr14	106267626	106267826	1
chr16	66985355	66985555	1
chr1	5907446	5907646	1
chr17	4110345	4110545	1
chr7	140434965	140435165	1
chr5	155635396	155635596	1
chr7	140797326	140797526	1
chr12	57814115	57814315	1
chr3	122948006	122948206	1
chr7	75854796	75854996	1
chr18	44082476	44082676	1
chr19	7113376	7113576	1
chr12	69921755	69921955	1
chr1	175694886	175695086	1
chr2	126570195	126570395	1
chr1	77502346	77502546	1
chr3	38474435	38474635	1
chr10	31796455	31796655	1
chr17	49946836	49947036	1
chr6	144027495	144027695	1
chr8	102256036	102256236	1
chr8	11463316	11463516	1
chrX	32155776	32155976	1
chr1	112434275	112434475	1
chr12	114039576	114039776	1
chr2	34877796	34877996	1
chr1	192170535	192170735	1
chr1	236782915	236783115	1
chr6	34083216	34083416	1
chr20	37671255	37671455	1
chr8	81785695	81785895	1
chr2	86293476	86293676	1
chr6	83958076	83958276	1
chr6	17638975	17639175	1
chr6	35558735	35558935	1
chr13	36785455	36785655	1
chr13	62131906	62132106	1
chr16	20034626	20034826	1
chr4	124457455	124457655	1
chr1	158628496	158628696	1
chr11	17393265	17393465	1
chr20	44859676	44859876	1
chr8	59953176	59953376	1
chr6	42670996	42671196	1
chr21	21165876	21166076	1
chr19	39059956	39060156	1
chr15	34446895	34447095	1
chr3	111305676	111305876	1
chr2	27971715	27971915	1
chr10	75308796	75308996	1
chr19	15649716	15649916	1
chr19	14371006	14371206	1
chr10	76953628	76953828	1
chr7	23834936	23835136	1
chr19	28910615	28910815	1
chr7	12347716	12347916	1
chr1	30225016	30225216	1
chr21	24204096	24204296	1
chr19	6568886	6569086	1
chr15	89508376	89508576	1
chr5	146204686	146204886	1
chr19	44981395	44981595	1
chr5	133071195	133071395	1
chr12	74542115	74542315	1
chr1	3462455	3462655	1
chr2	202668436	202668636	1
chr8	130615955	130616155	1
chr3	123309675	123309875	1
chr2	39259665	39259865	1
chr2	170504155	170504355	1
chr9	97252836	97253036	1
chr3	58352526	58352726	1
chr22	30112816	30113016	1
chr2	128534655	128534855	1
chr7	107988136	107988336	1
chr11	108209656	108209856	1
chr11	134346415	134346615	1
chr9	33340435	33340635	1
chr17	74481315	74481515	1
chr16	48754206	48754406	1
chr8	140908956	140909156	1
chr1	112190435	112190635	1
chr9	140263995	140264195	1
chr15	29741456	29741656	1
chr16	7064056	7064256	1
chr3	183788955	183789155	1
chr11	8294956	8295156	1
chr8	124541715	124541915	1
chr10	66236365	66236565	1
chr1	209715855	209716055	1
chr11	16749435	16749635	1
chr2	179971255	179971455	1
chr22	25271976	25272176	1
chr1	5061616	5061816	1
chr8	86983575	86983775	1
chr12	112392796	112392996	1
chr20	40808506	40808706	1
chr7	37019716	37019916	1
chr2	23897256	23897456	1
chr12	10348876	10349076	1
chr1	235654675	235654875	1
chr2	113623575	113623775	1
chr12	110623966	110624166	1
chr7	21408016	21408216	1
chr3	33739295	33739495	1
chr3	63053796	63053996	1
chr7	72156456	72156656	1
chr3	151297766	151297966	1
chr15	29305136	29305336	1
chr5	112648575	112648775	1
chr11	108008086	108008286	1
chr1	248563555	248563755	1
chr6	110576636	110576836	1
chr18	28978235	28978435	1
chr15	97712496	97712696	1
chr19	29820486	29820686	1
chr11	127241636	127241836	1
chr6	159435555	159435755	1
chr19	7083095	7083295	1
chr14	24982316	24982516	1
chr1	21455856	21456056	1
chr1	189238235	189238435	1
chr12	7889936	7890136	1
chr15	59170376	59170576	1
chr12	100933076	100933276	1
chr2	242700135	242700335	1
chr1	173767695	173767895	1
chr19	55028595	55028795	1
chr1	58756436	58756636	1
chr12	119070976	119071176	1
chr3	118744336	118744536	1
chr17	37979995	37980195	1
chr5	173572875	173573075	1
chr7	30711556	30711756	1
chr13	33302636	33302836	1
chr2	189108136	189108336	1
chr5	176411756	176411956	1
chr1	37389906	37390106	1
chr9	125404596	125404796	1
chr1	31084876	31085076	1
chr12	4934675	4934875	1
chr11	43780576	43780776	1
chr1	194307536	194307736	1
chr1	93612106	93612306	1
chr12	71229655	71229855	1
chr18	43800176	43800376	1
chr2	104273136	104273336	1
chr12	40896216	40896416	1
chr19	47081035	47081235	1
chr14	70519796	70519996	1
chr5	151097635	151097835	1
chr14	78996476	78996676	1
chr20	34350476	34350676	1
chr2	71575536	71575736	1
chr7	95534576	95534776	1
chr3	197435476	197435676	1
chr22	33940776	33940976	1
chr6	82698416	82698616	1
chr17	71906976	71907176	1
chr7	157285895	157286095	1
chr12	115487556	115487756	1
chr5	56393635	56393835	1
chrX	54034196	54034396	1
chr19	38945796	38945996	1
chr15	34362375	34362575	1
chr5	64849636	64849836	1
chr11	63937896	63938096	1
chr12	120842255	120842455	1
chr11	103761876	103762076	1
chr17	56253656	56253856	1
chr8	130911955	130912155	1
chr3	83837116	83837316	1
chr17	80037275	80037475	1
chr10	22462856	22463056	1
chr12	69646555	69646755	1
chr19	11717395	11717595	1
chr2	206839355	206839555	1
chr1	236066415	236066615	1
chr10	32140316	32140516	1
chr17	2685660	2685860	1
chr11	108107376	108107576	1
chr15	99838615	99838815	1
chr6	161404475	161404675	1
chr11	5755395	5755595	1
chr12	108862176	108862376	1
chr10	16507896	16508096	1
chr10	70388376	70388576	1
chr5	29935576	29935776	1
chr16	46873795	46873995	1
chr20	859486	859686	1
chr10	25819455	25819655	1
chr3	77348396	77348596	1
chr6	47052535	47052735	1
chr2	38622035	38622235	1
chr20	7837476	7837676	1
chr19	56678636	56678836	1
chr19	308480	308680	1
chr4	102795676	102795876	1
chr17	65318516	65318716	1
chr17	71133595	71133795	1
chrX	102671245	102671445	1
chr16	5759976	5760176	1
chr10	135261735	135261935	1
chr21	25297416	25297616	1
chr18	45422116	45422316	1
chr20	30236076	30236276	1
chr18	75484116	75484316	1
chr19	328175	328375	1
chr15	73639146	73639346	1
chr3	37368015	37368215	1
chr22	17232195	17232395	1
chr1	232220676	232220876	1
chr12	10320316	10320516	1
chrX	12083496	12083696	1
chr5	37254595	37254795	1
chr8	33395166	33395366	1
chr16	8076555	8076755	1
chr7	23347996	23348196	1
chr1	36588135	36588335	1
chr17	76650515	76650715	1
chr19	1803916	1804116	1
chr6	125561836	125562036	1
chr17	32826676	32826876	1
chr17	27833896	27834096	1
chr8	60570276	60570476	1
chr1	190436736	190436936	1
chr19	53651096	53651296	1
chr8	24025216	24025416	1
chr2	87049835	87050035	1
chr5	32340015	32340215	1
chr8	142526786	142526986	1
chr1	226052215	226052415	1
chr6	116473796	116473996	1
chr15	88406496	88406696	1
chr12	110174476	110174676	1
chr1	183014355	183014555	1
chr17	15928536	15928736	1
chr2	82255196	82255396	1
chr15	91056755	91056955	1
chr3	149548796	149548996	1
chr7	135811755	135811955	1
chr17	33033136	33033336	1
chr9	37568495	37568695	1
chr21	10375575	10375775	1
chr1	120373895	120374095	1
chr3	126780876	126781076	1
chr12	107396495	107396695	1
chr1	110148515	110148715	1
chr7	143727475	143727675	1
chr1	212537595	212537795	1
chr3	37661836	37662036	1
chr20	62092796	62092996	1
chr6	37847475	37847675	1
chr8	22588275	22588475	1
chr1	236762075	236762275	1
chr16	68928316	68928516	1
chr8	126467315	126467515	1
chr6	13217815	13218015	1
chr5	141114506	141114706	1
chr17	55852175	55852375	1
chr2	230686945	230687145	1
chr7	148748116	148748316	1
chr6	33314856	33315056	1
chr6	89428936	89429136	1
chrX	123246756	123246956	1
chr19	18070996	18071196	1
chr19	22130615	22130815	1
chr1	231884575	231884775	1
chr19	11892126	11892326	1
chr3	12630775	12630975	1
chr17	64433715	64433915	1
chr8	22977675	22977875	1
chr5	54484595	54484795	1
chr5	95819616	95819816	1
chr4	70411296	70411496	1
chr2	109486555	109486755	1
chr3	20911980	20912180	1
chr6	32322835	32323035	1
chr10	66404455	66404655	1
chr21	25635156	25635356	1
chr17	8710555	8710755	1
chr17	67814736	67814936	1
chr22	49897916	49898116	1
chr9	80190796	80190996	1
chr2	38570375	38570575	1
chr15	51002876	51003076	1
chr7	131430496	131430696	1
chr7	145397655	145397855	1
chr1	165918696	165918896	1
chr1	113020235	113020435	1
chr19	1051536	1051736	1
chr3	166166996	166167196	1
chr5	149833705	149833905	1
chr3	182452035	182452235	1
chr1	105934536	105934736	1
chr7	148791555	148791755	1
chr1	10371615	10371815	1
chr1	185767716	185767916	1
chr19	14448395	14448595	1
chr17	11493176	11493376	1
chr20	37206375	37206575	1
chr1	9615475	9615675	1
chr3	24194505	24194705	1
chr6	37834835	37835035	1
chr3	138094415	138094615	1
chr1	117682395	117682595	1
chr7	133691315	133691515	1
chr2	43946076	43946276	1
chr8	56730356	56730556	1
chr5	86447416	86447616	1
chr5	77695396	77695596	1
chr6	44932476	44932676	1
chr8	99968215	99968415	1
chr1	149745676	149745876	1
chr10	62975996	62976196	1
chr2	128012775	128012975	1
chr3	129625736	129625936	1
chr1	189634116	189634316	1
chr1	1429096	1429296	1
